Date,Volume(V µg/m3)
26/04/2020,23
27/04/2020,2
28/04/2020,4
29/04/2020,9
30/04/2020,5
01/05/2020,3
02/05/2020,3
03/05/2020,10
04/05/2020,11
05/05/2020,5
06/05/2020,9
07/05/2020,14
08/05/2020,6
09/05/2020,12
10/05/2020,6
11/05/2020,5
12/05/2020,4
13/05/2020,3
14/05/2020,4
15/05/2020,3
16/05/2020,3
17/05/2020,5
18/05/2020,5
19/05/2020,5
20/05/2020,8
21/05/2020,8
22/05/2020,11
23/05/2020,6
24/05/2020,7
25/05/2020,6
26/05/2020,5
27/05/2020,6
28/05/2020,10
29/05/2020,7
30/05/2020,8
31/05/2020,7
01/06/2020,5
02/06/2020,3
03/06/2020,4
04/06/2020,3
05/06/2020,2
06/06/2020,2
07/06/2020,3
08/06/2020,6
09/06/2020,11
10/06/2020,11
11/06/2020,6
12/06/2020,4
13/06/2020,11
14/06/2020,10
15/06/2020,16
16/06/2020,14
17/06/2020,13
18/06/2020,9
19/06/2020,7
20/06/2020,4
21/06/2020,5
22/06/2020,7
23/06/2020,6
24/06/2020,13
25/06/2020,14
26/06/2020,18
27/06/2020,6
28/06/2020,3
29/06/2020,2
30/06/2020,4
01/07/2020,5
02/07/2020,3
03/07/2020,2
04/07/2020,2
05/07/2020,3
06/07/2020,3
07/07/2020,4
08/07/2020,5
09/07/2020,2
10/07/2020,3
11/07/2020,2
12/07/2020,3
13/07/2020,3
14/07/2020,2
15/07/2020,2
16/07/2020,2
17/07/2020,5
18/07/2020,4
19/07/2020,4
20/07/2020,
21/07/2020,
22/07/2020,6
23/07/2020,4
24/07/2020,4
25/07/2020,3
26/07/2020,3
27/07/2020,4
28/07/2020,3
29/07/2020,4
30/07/2020,9
31/07/2020,9
01/08/2020,4
02/08/2020,3
03/08/2020,2
04/08/2020,4
05/08/2020,3
06/08/2020,4
07/08/2020,6
08/08/2020,4
09/08/2020,8
10/08/2020,10
11/08/2020,17
12/08/2020,22
13/08/2020,9
14/08/2020,5
15/08/2020,6
16/08/2020,6
17/08/2020,6
18/08/2020,7
19/08/2020,7
20/08/2020,6
21/08/2020,4
22/08/2020,3
23/08/2020,4
24/08/2020,4
25/08/2020,3
26/08/2020,3
27/08/2020,9
28/08/2020,3
29/08/2020,3
30/08/2020,4
31/08/2020,8
01/09/2020,13
