Date,Volume(V µg/m3)
12/10/2019,28
13/10/2019,28
14/10/2019,30
15/10/2019,34
16/10/2019,43
17/10/2019,46
18/10/2019,42
19/10/2019,34
20/10/2019,13
21/10/2019,32
22/10/2019,44
23/10/2019,50
24/10/2019,48
25/10/2019,38
26/10/2019,31
27/10/2019,23
28/10/2019,36
29/10/2019,22
30/10/2019,30
31/10/2019,39
01/11/2019,41
02/11/2019,34
03/11/2019,36
04/11/2019,33
05/11/2019,22
06/11/2019,51
07/11/2019,22
08/11/2019,26
09/11/2019,40
10/11/2019,34
11/11/2019,32
12/11/2019,22
13/11/2019,42
14/11/2019,13
15/11/2019,20
16/11/2019,28
17/11/2019,22
18/11/2019,38
19/11/2019,60
20/11/2019,47
21/11/2019,43
22/11/2019,37
23/11/2019,29
24/11/2019,32
25/11/2019,40
26/11/2019,57
27/11/2019,35
28/11/2019,29
29/11/2019,49
30/11/2019,52
01/12/2019,39
02/12/2019,39
03/12/2019,43
04/12/2019,48
05/12/2019,29
06/12/2019,24
07/12/2019,24
08/12/2019,12
09/12/2019,33
10/12/2019,34
11/12/2019,42
12/12/2019,49
13/12/2019,32
14/12/2019,26
15/12/2019,28
16/12/2019,50
17/12/2019,69
18/12/2019,47
19/12/2019,38
20/12/2019,45
21/12/2019,49
22/12/2019,39
23/12/2019,25
24/12/2019,35
25/12/2019,30
26/12/2019,26
27/12/2019,36
28/12/2019,47
29/12/2019,33
30/12/2019,26
31/12/2019,46
01/01/2020,34
02/01/2020,22
03/01/2020,23
04/01/2020,22
05/01/2020,20
06/01/2020,21
07/01/2020,23
08/01/2020,39
09/01/2020,29
10/01/2020,36
11/01/2020,14
12/01/2020,33
13/01/2020,35
14/01/2020,31
15/01/2020,29
16/01/2020,31
17/01/2020,36
18/01/2020,22
19/01/2020,32
20/01/2020,37
21/01/2020,31
22/01/2020,34
23/01/2020,31
24/01/2020,24
25/01/2020,32
26/01/2020,34
27/01/2020,49
28/01/2020,27
29/01/2020,25
30/01/2020,28
31/01/2020,20
01/02/2020,15
02/02/2020,28
03/02/2020,19
04/02/2020,31
05/02/2020,49
06/02/2020,55
07/02/2020,50
08/02/2020,20
09/02/2020,9
10/02/2020,19
11/02/2020,19
12/02/2020,36
13/02/2020,41
14/02/2020,44
15/02/2020,24
16/02/2020,10
17/02/2020,16
18/02/2020,21
19/02/2020,26
20/02/2020,18
21/02/2020,18
22/02/2020,11
23/02/2020,21
24/02/2020,26
25/02/2020,31
26/02/2020,28
27/02/2020,28
28/02/2020,41
