Date,Volume (V µg/m3)
15/08/2018,&nbsp;
16/08/2018,&nbsp;
17/08/2018,&nbsp;
05/01/2020,6
06/01/2020,9
07/01/2020,8
08/01/2020,12
09/01/2020,7
10/01/2020,8
11/01/2020,7
12/01/2020,5
13/01/2020,6
14/01/2020,6
15/01/2020,6
16/01/2020,8
17/01/2020,6
18/01/2020,10
19/01/2020,14
20/01/2020,27
21/01/2020,30
22/01/2020,30
23/01/2020,&nbsp;
24/01/2020,&nbsp;
25/01/2020,&nbsp;
26/01/2020,&nbsp;
27/01/2020,&nbsp;
28/01/2020,&nbsp;
29/01/2020,8
30/01/2020,6
31/01/2020,4
01/02/2020,8
02/02/2020,9
03/02/2020,10
04/02/2020,9
05/02/2020,17
06/02/2020,20
07/02/2020,22
08/02/2020,10
09/02/2020,6
10/02/2020,8
11/02/2020,8
12/02/2020,7
13/02/2020,8
14/02/2020,11
15/02/2020,6
16/02/2020,4
17/02/2020,10
18/02/2020,7
19/02/2020,9
20/02/2020,7
21/02/2020,9
22/02/2020,10
23/02/2020,6
24/02/2020,6
25/02/2020,6
26/02/2020,9
27/02/2020,11
28/02/2020,9
29/02/2020,10
01/03/2020,7
02/03/2020,7
03/03/2020,9
04/03/2020,11
05/03/2020,13
06/03/2020,14
07/03/2020,14
08/03/2020,7
09/03/2020,8
10/03/2020,5
11/03/2020,6
12/03/2020,8
13/03/2020,7
14/03/2020,5
15/03/2020,5
16/03/2020,9
17/03/2020,7
18/03/2020,8
19/03/2020,13
20/03/2020,7
21/03/2020,9
22/03/2020,11
23/03/2020,14
24/03/2020,14
25/03/2020,21
26/03/2020,28
27/03/2020,29
28/03/2020,15
29/03/2020,7
30/03/2020,6
31/03/2020,8
01/04/2020,11
02/04/2020,7
03/04/2020,11
04/04/2020,14
05/04/2020,11
06/04/2020,9
07/04/2020,16
08/04/2020,39
09/04/2020,46
10/04/2020,33
11/04/2020,25
12/04/2020,21
13/04/2020,10
14/04/2020,9
15/04/2020,19
16/04/2020,&nbsp;
17/04/2020,&nbsp;
18/04/2020,&nbsp;
19/04/2020,&nbsp;
20/04/2020,&nbsp;
21/04/2020,12
22/04/2020,16
23/04/2020,22
24/04/2020,22
25/04/2020,14
26/04/2020,14
27/04/2020,18
28/04/2020,8
29/04/2020,9
30/04/2020,6
01/05/2020,7
02/05/2020,8
03/05/2020,10
04/05/2020,12
05/05/2020,8
06/05/2020,14
07/05/2020,18
08/05/2020,17
09/05/2020,28
10/05/2020,17
11/05/2020,7
12/05/2020,7
13/05/2020,7
14/05/2020,7
15/05/2020,9
16/05/2020,8
17/05/2020,9
18/05/2020,8
19/05/2020,7
20/05/2020,9
21/05/2020,11
22/05/2020,11
23/05/2020,15
24/05/2020,10
25/05/2020,13
26/05/2020,11
27/05/2020,11
28/05/2020,10
29/05/2020,9
30/05/2020,11
31/05/2020,10
01/06/2020,10
02/06/2020,9
03/06/2020,14
04/06/2020,7
05/06/2020,6
06/06/2020,8
07/06/2020,8
08/06/2020,9
09/06/2020,9
10/06/2020,12
11/06/2020,15
12/06/2020,22
13/06/2020,10
14/06/2020,13
15/06/2020,9
16/06/2020,9
17/06/2020,11
18/06/2020,9
19/06/2020,8
20/06/2020,7
21/06/2020,8
22/06/2020,11
23/06/2020,14
24/06/2020,18
25/06/2020,17
26/06/2020,16
27/06/2020,8
28/06/2020,7
29/06/2020,7
30/06/2020,6
01/07/2020,6
02/07/2020,7
03/07/2020,7
04/07/2020,6
05/07/2020,7
06/07/2020,9
07/07/2020,8
08/07/2020,6
09/07/2020,7
10/07/2020,6
11/07/2020,7
12/07/2020,11
13/07/2020,7
14/07/2020,8
15/07/2020,7
16/07/2020,7
17/07/2020,10
18/07/2020,7
19/07/2020,7
20/07/2020,&nbsp;
21/07/2020,&nbsp;
22/07/2020,&nbsp;
23/07/2020,&nbsp;
24/07/2020,7
25/07/2020,7
26/07/2020,7
27/07/2020,8
28/07/2020,6
29/07/2020,8
30/07/2020,9
31/07/2020,16
01/08/2020,8
02/08/2020,7
03/08/2020,7
04/08/2020,8
05/08/2020,7
06/08/2020,8
07/08/2020,16
08/08/2020,19
09/08/2020,20
10/08/2020,21
11/08/2020,32
12/08/2020,39
13/08/2020,24
14/08/2020,14
15/08/2020,18
16/08/2020,22
17/08/2020,9
18/08/2020,7
19/08/2020,8
20/08/2020,11
21/08/2020,10
22/08/2020,8
23/08/2020,7
24/08/2020,7
25/08/2020,8
26/08/2020,8
